"Production of metallic minerals in quantities, monthly c 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0019-01"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Variables","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
"Aluminum (metric tonnes) 4 5","Quantity produced","254,371","241,370","264,780","256,694","264,618","255,530","267,225","267,423","260,327","275,226","269,704","277,225","279,423","254,325","281,343","267,452","277,570","267,284","272,606","253,874","244,607","252,916","251,106","255,256","252,235","223,158","254,136","245,717","254,476","246,859","255,046","256,402","252,855","261,950","257,959","265,443","269,973","243,833","272,796","268,980","276,592","270,635","276,906","280,588","271,364","283,573","276,846","309,758","307,599","266,010","284,301","276,024","281,021","270,620","277,649","274,889","269,050","278,207","272,312","280,830","279,416","251,998","278,841","270,465","280,080","269,334","274,616","279,802","266,808","277,063","266,681","274,148","277,792"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","261,758","240,041","293,640","249,315","275,488","285,946","240,367","242,251","233,742","234,438","250,945","260,982","216,740","179,315","232,664","286,645","298,507","228,235","253,717","253,002","230,158","257,409","251,352","269,086","273,946","219,292","260,664","286,603","264,478","273,355","278,103","271,532","247,478","269,134","308,243","304,142","299,193","268,143","297,027","276,273","257,255","274,350","263,790","285,217","262,451","238,492","280,929","308,163","244,592","256,232","258,430","254,061","246,184","305,411","199,419","274,919","282,678","259,580","249,363","311,942","257,345"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","113,232","120,424","108,914","118,842","116,074","90,079","119,630","126,218","122,339","138,640","134,855","124,411","155,811","188,531","208,426","165,765","118,572","101,145","99,369","100,535","119,834","120,287","121,320","111,667","107,397","128,895","133,025","109,738","115,857","105,190","99,197","107,722","124,706","136,339","102,771","104,913","103,055","98,284","84,198","78,193","99,362","89,330","101,505","84,989","89,107","125,085","110,622","81,051","115,663","106,881","121,217","110,583","140,603","99,186","168,323","168,852","146,503","161,858","171,360","125,496","139,163"
"Aluminum, molten metal (metric tonnes) 4 5 6","Quantity produced","250,396","238,002","260,835","253,692","262,356","252,893","263,964","263,561","256,641","271,148","265,540","273,749","275,168","250,518","276,581","262,852","273,189","262,554","268,334","249,589","240,802","248,681","247,043","250,758","248,065","219,353","249,788","241,892","250,866","243,390","250,781","252,160","248,908","257,904","254,035","261,701","266,172","241,219","268,992","265,106","272,587","267,283","273,166","276,690","267,241","280,169","273,553","305,975","303,272","262,577","280,443","272,740","277,265","267,268","273,788","271,561","264,994","274,722","269,048","277,232","275,534","248,400","274,714","266,640","277,148","266,720","271,454","276,559","263,067","274,078","263,944","271,401","274,376"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Aluminum, alloys (metric tonnes) 4 5 6","Quantity produced","3,975","3,368","3,946","3,001","2,262","2,637","3,261","3,862","3,686","4,079","4,165","3,476","4,255","3,807","4,762","4,600","4,381","4,730","4,272","4,285","3,805","4,235","4,063","4,498","4,170","3,805","4,348","3,825","3,610","3,469","4,265","4,242","3,947","4,046","3,924","3,742","3,801","2,614","3,804","3,874","4,005","3,352","3,740","3,898","4,123","3,404","3,293","3,783","4,327","3,433","3,858","3,284","3,756","3,352","3,861","3,328","4,056","3,485","3,264","3,598","3,882","3,598","4,127","3,825","2,932","2,614","3,162","3,243","3,741","2,985","2,737","2,747","3,416"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
