"Production of non-metallic minerals in quantities, monthly 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0020-01"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Variables","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
"Diamonds (carats)","Quantity produced","1,316,505","1,423,826","1,380,941","x","x","x","x","x","x","1,158,669","1,288,780","1,131,590","1,313,412","1,322,562","1,401,305","1,482,887","1,435,155","1,556,225","1,276,753","1,510,682","1,337,209","1,787,084","1,383,366","1,430,818","1,482,226","1,091,605","1,283,430","1,181,072","1,334,607","1,431,222","1,302,916","1,302,265","1,459,582","1,485,928","1,450,272","1,568,370","1,507,408","1,288,598","1,171,480","1,305,511","1,318,887","1,383,235","1,376,160","1,348,633","1,261,357","1,338,761","1,023,936","1,257,401","1,189,955","1,066,377","879,647","1,116,060","1,054,390","1,067,510","1,010,664","1,071,895","884,053","1,012,137","925,148","715,482","880,296","822,225","770,362","845,356","846,976","1,076,386","975,430","923,672","862,315","1,039,452","1,175,623","1,259,994","996,056"
,"Quantity shipped","1,595,510","1,428,192","1,295,517","977,407","x","1,042,271","x","x","x","1,389,785","944,879","1,736,410","x","996,494","1,264,034","1,913,865","1,468,940","1,459,972","1,656,256","1,411,641","1,574,967","1,547,921","1,529,902","1,484,236","1,808,844","1,195,203","1,690,352","951,023","1,106,556","1,105,752","1,820,982","1,241,415","1,618,238","1,296,448","1,026,695","1,589,326","1,520,178","1,769,312","1,553,046","534,841","1,280,559","1,336,302","1,627,278","1,427,534","902,929","1,938,250","907,774","1,246,359","1,582,171","1,099,092","1,309,482","955,185","906,596","511,709","1,436,763","1,150,327","1,223,774","776,374","757,353","639,404","1,211,377","875,329","582,965","1,168,965","1,126,297","474,302","1,376,033","833,653","1,137,973","860,594","763,945","1,218,532","x"
,"Closing inventories","1,201,337","1,878,246","1,962,293","x","x","2,513,888","x","x","x","x","2,540,388","1,935,568","2,429,465","2,804,091","2,558,639","2,127,662","2,114,303","2,165,045","1,784,115","1,883,156","1,645,398","1,884,561","1,737,751","1,684,835","1,209,680","1,490,017","1,083,094","1,313,143","1,541,174","1,866,644","1,348,577","1,409,428","1,250,774","1,440,254","1,863,830","1,842,876","1,830,105","1,349,392","967,825","1,738,493","1,776,822","1,823,755","1,572,637","1,493,735","1,852,162","1,252,674","1,368,837","1,379,878","987,663","954,730","524,894","685,768","833,563","1,389,365","963,267","884,836","545,115","780,877","948,673","1,024,750","693,669","640,565","1,133,524","809,915","530,595","1,132,679","732,077","822,096","546,437","725,296","1,136,974","1,178,436","1,155,335"
"Graphite (metric tonnes) 4","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Gypsum (metric tonnes)","Quantity produced","213,413","195,077","267,355","258,097","243,868","224,668","206,159","158,031","251,522","290,914","323,332","x","207,287","193,640","329,158","336,106","244,028","168,195","190,446","208,405","270,584","273,895","257,978","x","157,798","171,013","328,015","317,679","279,295","182,147","199,467","228,138","232,174","281,153","340,796","297,113","195,321","168,602","313,217","324,186","346,558","241,456","218,482","235,726","238,785","224,250","259,050","x","x","218,644","x","x","237,570","143,162","182,700","184,272","224,953","266,607","257,719","x","x","x","x","x","218,407","109,669","195,664","91,500","211,587","251,648","243,143","196,307","167,260"
,"Quantity shipped","229,382","227,929","254,656","249,598","161,376","349,343","168,776","196,113","228,298","242,315","361,155","207,032","203,986","261,103","288,909","246,528","280,361","211,216","282,287","146,166","365,289","211,845","245,462","246,613","212,082","182,292","228,545","229,495","249,866","314,837","265,316","249,580","266,883","182,406","263,214","428,209","162,898","227,063","333,079","320,300","267,524","338,396","188,307","253,073","193,654","162,364","205,221","x","x","174,181","x","x","285,960","182,090","205,396","174,970","231,608","182,288","229,956","x","134,988","178,556","276,009","181,441","233,713","206,640","198,609","194,241","207,584","259,688","214,122","139,688","192,440"
,"Closing inventories","177,407","141,410","164,109","172,608","255,100","125,972","163,354","125,270","161,815","224,558","186,734","265,433","268,735","201,271","241,522","331,100","294,562","251,541","159,699","221,939","127,233","189,281","201,798","182,904","128,617","117,338","216,807","304,992","334,420","201,730","135,882","114,441","79,732","178,479","256,062","124,965","157,390","98,929","79,062","82,948","168,131","71,190","101,365","84,018","129,147","195,472","249,301","197,267","157,197","201,660","195,671","221,725","173,335","134,407","111,711","121,013","114,358","198,677","226,440","252,434","340,678","334,812","317,593","x","392,488","295,517","292,572","189,832","172,581","164,541","193,562","250,181","225,000"
"Lime, total (metric tonnes) 5 6","Quantity produced","137,055","135,441","144,619","125,800","115,409","125,781","141,813","133,545","127,918","137,057","137,252","129,810","142,232","141,651","159,013","144,164","159,996","144,794","164,768","152,601","164,729","152,613","141,235","147,830","144,235","135,046","149,172","152,821","161,583","102,683","108,273","166,749","113,591","151,146","132,404","136,662","142,104","81,325","109,865","96,345","99,021","97,093","90,673","103,203","121,447","90,973","93,761","97,440","130,485","125,121","147,552","145,316","145,555","148,342","155,985","159,120","142,574","157,773","140,637","146,329","143,682","126,702","153,172","149,510","157,997","144,811","157,688","163,004","160,699","133,972","136,530","137,885","134,064"
