"Production of metallic minerals in value, monthly c 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0019-02"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Canada 2",,,,
"Variables","Value of shipments 2",,,,
"Products","September 2025","October 2025","November 2025","December 2025","January 2026"
"Aluminum (dollars) 4 5","980,897,791","998,314,187","1,086,950,267","1,074,399,096","1,140,039,717"
"Bismuth, refined (dollars) 4 5","0","0","0","0","0"
"Cadmium, refined (dollars) 4","x","x","x","x","x"
"Cobalt recoverable (dollars) 5","12,901,019","26,704,289","34,895,390","35,827,013","34,772,598"
"Cobalt, refined (dollars) 4 5","20,706,000","30,378,000","26,280,000","33,859,000","36,124,000"
"Copper, concentrates (dollars)","806,748,479","612,538,051","1,002,567,594","1,012,689,634","960,233,539"
"Copper, recoverable (dollars) 5","600,568,713","381,149,331","708,282,874","724,856,053","557,826,929"
"Copper, refined (dollars) 4 5","402,515,000","426,951,000","410,177,000","415,023,667","564,569,155"
"Germanium, refined (dollars) 4 5","x","x","x","x","x"
"Gold and silver bullion, crude and dore (dollars) 6","2,693,437,621","2,423,730,718","2,728,583,888","3,344,669,020","2,790,815,215"
"Gold, concentrates (dollars) 6","x","0","x","x","x"
"Gold, recoverable (dollars) 6","3,030,770,054","2,658,020,192","3,152,639,958","3,711,137,435","3,235,458,529"
"Gold, refined (dollars) 6 7","6,096,837,000","7,176,796,000","4,388,372,604","6,739,011,929","5,466,807,000"
"Ilmenite, concentrates (dollars)","0","0","0","0","0"
"Ilmenite, recoverable (dollars)","0","0","0","0","0"
"Indium, refined (dollars) 4 5","x","x","x","x","x"
"Iron, agglomerates (dollars)","x","x","x","x","x"
"Iron, concentrates (dollars)","628,234,000","400,795,000","300,442,000","342,857,000","251,176,000"
"Iron, remelt (dollars)","0","0","0","0","x"
"Lead, concentrates (dollars)","18,705,000","23,230,000","21,611,000","18,227,000","13,027,000"
"Lead, recoverable (dollars)","877,000","1,040,000","841,000","418,000","232,000"
"Lead, refined from primary (dollars) 4","x","x","x","x","x"
"Lead, refined from secondary (dollars) 4","10,606,424","12,863,477","13,312,810","10,332,531","8,737,967"
"Lithium, concentrates (dollars) 8 9","0","x","0","x","x"
"Lithium, recoverable (dollars) 5","0","0","0","0","0"
"Molybdenum, concentrates (dollars)","x","x","x","x","x"
"Molybdenum, recoverable (dollars) 5","x","x","x","x","x"
"Nickel, concentrates (dollars)","243,784,303","384,654,935","428,619,628","444,926,173","355,868,803"
"Nickel, recoverable (dollars) 5","194,909,187","315,314,767","335,416,862","348,086,745","240,225,426"
"Nickel, refined (dollars) 4 5","x","x","x","x","135,726,000"
"Niobium, concentrates (dollars)","x","x","x","x","x"
"Niobium, recoverable (dollars) 5","x","x","x","x","x"
