"Production of metallic, non-metallic, aggregates, clay and refractory minerals in quantities, annual 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 16-10-0022-01"
"Release date: 2026-02-25"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada",,,,,,
"Products","Variables","2019","2020","2021","2022","2023","2024","2025"
"Cobalt, recoverable (metric tonnes) 8 9","Quantity produced","4,191","3,376","3,766","2,975","2,787","3,546","4,616p"
,"Quantity shipped","4,188","3,635","3,777","3,014","2,764","3,523","4,510p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Copper, concentrates (metric tonnes) 8 9","Quantity produced","1,723,882","1,800,040","1,600,117","1,517,853","1,395,009","1,487,150",".."
,"Quantity shipped","1,720,953","1,788,682","1,578,320","1,545,530","1,388,719","1,500,811",".."
,"Closing inventories 10","65,266","75,291","97,088","69,411","67,474","57,981",".."
"Copper, recoverable (metric tonnes) 8 9","Quantity produced","552,746","541,051","487,411","457,164","417,102","444,587","499,896p"
,"Quantity shipped","547,462","536,567","483,802","457,259","405,422","437,861","480,100p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Gold and silver bullion, crude and dore (kilograms) 9","Quantity produced","235,117","211,372","222,151","217,482","216,024","223,805",".."
,"Quantity shipped","232,432","214,882","214,077","218,352","212,670","221,873",".."
,"Closing inventories 10","15,659","11,181","17,197","12,083","14,800","15,692",".."
"Gold, concentrates (kilograms) 9","Quantity produced","x","x","x","x","x","x",".."
,"Quantity shipped","x","x","x","15,942","x","x",".."
,"Closing inventories 10","x","x","x","x","x","x",".."
"Gold, recoverable (kilograms) 9","Quantity produced","191,716","177,756","196,491","189,393","191,824","185,555","186,923p"
,"Quantity shipped","188,438","177,729","189,172","190,431","189,334","185,376","184,456p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Ilmenite, concentrates (metric tonnes) 9","Quantity produced","x","x","x","x","x","x",".."
,"Quantity shipped","x","x","x","x","x","x",".."
,"Closing inventories 10","x","x","x","x","x","x",".."
"Ilmenite, recoverable (metric tonnes) 9","Quantity produced","0","0","0","0","0","0","0p"
,"Quantity shipped","0","0","0","0","0","0","0p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Iron, agglomerates (metric tonnes) 9","Quantity produced","19,665,690","18,215,145","18,166,563","18,561,076","17,707,991","x","xp"
,"Quantity shipped","19,172,903","19,047,647","18,258,186","18,871,944","17,930,641","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Iron, concentrates (metric tonnes) 9","Quantity produced","46,794,745","60,824,187","57,347,860","64,212,320","65,165,564","67,955,288","70,224,051p"
,"Quantity shipped","35,722,504","40,679,436","37,409,019","40,786,873","42,528,909","47,350,212","50,087,670p"
,"Closing inventories 10","5,652,296","6,333,132","6,691,855","7,453,967","19,507,827","20,897,611",".."
"Iron, remelt (metric tonnes) 9","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Lead, concentrates (metric tonnes) 9","Quantity produced","x","x","21,047","x","x","4,516",".."
,"Quantity shipped","x","x","20,104","x","x","3,719",".."
,"Closing inventories 10","1,071","x","x","x","x","1,213",".."
"Lead, recoverable (metric tonnes) 9","Quantity produced","x","x","8,280","x","x","2,930","2,930p"
,"Quantity shipped","x","x","8,224","x","x","2,513","2,513p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Lithium, concentrates (kilograms) 9 11","Quantity produced","0","0","1,630,000","21,201,998","x","197,057,037",".."
,"Quantity shipped","0","0","1,053,000","21,824,639","32,528,000","200,382,990",".."
,"Closing inventories 10","0","0","577,000","3,918,344","x","38,699,652",".."
"Lithium, recoverable (kilograms) 8 9","Quantity produced","0","0","40,750","530,050","790,000","4,926,426","4,468,176p"
,"Quantity shipped","0","0","26,325","545,616","813,200","5,009,575","4,537,867p"
,"Closing inventories 10","..","..","..","..","..","..",".."
"Molybdenum, concentrates (metric tonnes) 8 9","Quantity produced","8,491","5,260","2,963","2,179","2,537","x",".."
,"Quantity shipped","8,589","5,295","3,067","2,329","2,375","x",".."
,"Closing inventories 10","x","x","x","x","x","x",".."
"Molybdenum, recoverable (metric tonnes) 8 9","Quantity produced","4,385","3,979","1,871","1,420","1,171","x","xp"
,"Quantity shipped","4,367","2,442","1,426","1,618","1,099","x","xp"
