"Production of metallic, non-metallic, aggregates, clay and refractory minerals in value, annual 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 16-10-0022-02"
"Release date: 2026-02-25"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography","Canada",,,,,,
"Variables","Value of shipments",,,,,,
"Products","2019","2020","2021","2022","2023","2024","2025"
"Total metals recoverable, non-metals and aggregates, clay and refractory minerals (thousands of dollars)","43,786,507","45,313,587","52,928,100","63,147,215","56,036,087","55,765,600","61,658,728p"
"Metals, recoverable (thousands of dollars) 8","29,619,812","32,481,661","37,592,536","37,433,751","35,995,273","40,429,149","44,795,249p"
"Cobalt, recoverable (thousands of dollars) 9 10","172,142","152,167","217,966","224,643","x","112,752","xp"
"Copper, concentrates (thousands of dollars) 9 10","4,844,644","5,646,878","7,505,467","6,654,545","5,041,259","6,493,980",".."
"Copper, recoverable (thousands of dollars) 9 10","4,276,414","4,215,890","5,297,620","4,943,550","4,114,566","4,855,395","4,614,017p"
"Gold and silver bullion, crude and dore (thousands of dollars) 10","9,887,488","11,709,674","11,672,607","12,167,752","13,956,503","18,012,228",".."
"Gold, concentrates (thousands of dollars) 10","x","x","x","382,078","x","x",".."
"Gold, recoverable (thousands of dollars) 10","11,370,535","13,533,150","13,665,295","14,331,211","15,846,371","19,220,950","20,801,299p"
"Ilmenite, concentrates (thousands of dollars) 10","x","x","x","x","x","x",".."
"Ilmenite, recoverable (thousands of dollars) 10","..","..","..","..","..","0","0p"
"Iron, agglomerates (thousands of dollars) 10","2,865,658","3,205,365","4,411,751","4,282,255","3,064,679","x","xp"
"Iron, concentrates (thousands of dollars) 10","3,579,753","5,547,203","6,929,140","5,713,327","5,631,420","5,595,801","6,283,612p"
"Iron, remelt (thousands of dollars) 10","x","x","x","x","x","x","xp"
"Lead, concentrates (thousands of dollars) 10","x","x","31,326","x","x","102,253",".."
"Lead, recoverable (thousands of dollars) 10","x","x","21,968","x","x","7,740","xp"
"Lithium, concentrates (thousands of dollars) 10 11","0","0","x","x","x","233,486",".."
"Lithium, recoverable (thousands of dollars) 9 10","0","0","x","x","x","233,486","xp"
"Molybdenum, concentrates (thousands of dollars) 9 10","142,908","65,708","64,355","61,056","73,132","x",".."
